Brand,Cultivator,Product,Format,Total Price,THC,CBD,Irradiation,Group,C.O.O,Terpenes,Pack,Stock,MedBud,Discounted,New
Greyscales,AAAA,OZK,Flower,£70.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out Stock,https://medbud.wiki/strains/greyscales/ozk-t29/,,,
Greyscales,AAAA,Pineapple Grape,Flower,£70.00,24%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/greyscales/pg-t24-pineapple-grape/,,,
Greyscales,AAAA,Platinum Gushers,Flower,£70.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/greyscales/pg-t26-platinum-gushers/,,,
Greyscales,AAAA,Strawberry Cough,Flower,£70.00,27%,<1%,Non-Irradiated,Sativa Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/greyscales/sc-t25-strawberry-cough/,,,

Headstone Cannabis,,Black Mountain Side,Flower,£80.00,30%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Ocimene",10 Grams,Out of Stock,https://medbud.wiki/strains/headstone-cannabis/bms-t30-black-mountain-side/,,,
Headstone Cannabis,,Dante's Fire,Flower,£75.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/headstone-cannabis/df-t29-dantes-inferno/,,,
Headstone Cannabis,,Lamb of God,Flower,£75.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/headstone-cannabis/lg-t29-lamb-of-god/,,,
Headstone Cannabis,,Wedding Punch,Flower,£80.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/headstone-cannabis/wp-t28-wedding-punch/,,,

Hexacan,Portocanna,Mango Summit,Flower,£49.99,22%,<1%,Beta,Hybrid,Portugal,"Caryophyllene, Humulene, Limonene, Myrcene, Z-Nerolidol",10 Grams,In Stock,https://medbud.wiki/strains/hexacan/ms-t22/,,,
Hexacan,Portocanna,Wedding Sunset,Flower,£60.00,22%,<1%,Beta,Hybrid,Portugal,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/hexacan/ws-wedding-sunset/,,,

Herdade Das Barrocas,,Banana Sherbet,Flower,£56.00,25%,<1%,Beta,Indica Hybrid,Portugal,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Fenchol, Humulene, Limonene, Linalool, Myrcene, Terpineol",10 Grams,Out of Stock,https://medbud.wiki/strains/herdade-das-barrocas/banana-sherbet/,,,
Herdade Das Barrocas,,Chapel of Love,Flower,£75.00,29%,<1%,Beta,Indica Hybrid,Portugal,"Alpha-Pinene, Beta-Pinene, Camphene, Carene, Caryophyllene, Fenchol, Geraniol, Humulene, Limonene, Linalool, Myrcene, Nerolidol, Terpinene, Terpineol",10 Grams,Out of Stock,https://medbud.wiki/strains/herdade-das-barrocas/tbc-chapel-of-love/,,,
Herdade Das Barrocas,,Tigerz Eye,Flower,£75.00,29%,<1%,Beta,Indica Hybrid,Portugal,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Humulene, Limonene, Linalool, Myrcene, Terpineol",10 Grams,Out of Stock,https://medbud.wiki/strains/herdade-das-barrocas/t23-tigerz-eye/,,,

HighGreens,,Atomic Slurricane,Flower,£65.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/high-greens/as-t27-atomic-slurricane/,,,
HighGreens,,Funky Zkittlez,Flower,£65.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Humulene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/high-greens/fz-t27-funky-zkittlez/,,,
HighGreens,,Lemon Diesel Fritter,Flower,£70.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/high-greens/lds-t27-lemon-diesel-fritter/,,,

Huala,,Alien Mints,Flower,£42.50,24%,<1%,Gamma,Indica Hybrid,Unknown,"Caryophyllene, Humulene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/huala/ams-t24-alien-mints/,,,

Humble Bud,,Cadillac Rainbow (SMALLS),Flower,£55.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/humble-bud/cr-smalls-t25-cadillac-rainbow/,,,
Humble Bud,,Gelato (SMALLS),Flower,£55.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/humble-bud/gm-smalls-t25-gelato/,,,
Humble Bud,,Grey Goose (SMALLS),Flower,£55.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/humble-bud/gg-smalls-t25-grey-goose/,,,
Humble Bud,,Pineapple Express (SMALLS),Flower,£60.00,25%,<1%,Non-Irradiated,Sativa Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/humble-bud/pne-smalls-t25-pineapple-express/,,,
Humble Bud,,Sticky Cake (SMALLS),Flower,£55.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/humble-bud/sc-smalls-t25-sticky-cake/,,,
Humble Bud,,Watermelon Zkittlez (SMALLS),Flower,£60.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/humble-bud/wz-minis-t28-watermelon-zkittlez/,,,

IPS,Organiccraft,Afghani Bullrider,Flower,£59.50,22%,<1%,Beta,Indica,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/ab-t22-afghani-bullrider/,,,
IPS,SafriCanna,Banjo,Flower,£49.50,24%,<1%,Beta,Hybrid,South Africa,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t24-banjo/,,,
IPS,PharmaCann,Black Amber,Flower,£75.00,30%,<1%,Non-Irradiated,Indica,North Macedonia,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/ips/t32-black-amber/,,,
IPS,,Black Candy,Flower,£56.00,27%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t27-black-candy/,,,
IPS,SafriCanna,Blunicorn,Flower,£48.50,26%,<1%,Gamma,Hybrid,South Africa,"Alpha-Pinene, Beta-Pinene, Bisabolol, Camphene, Carene, Caryophyllene, Humulene, Limonene, Linalool, Myrcene, Nerolidol, Ocimene",10 Grams,In Stock,https://medbud.wiki/strains/ips/blu-t26-blunicorn/,,,
IPS,Schroll Medical,Cali Sunset,Flower,£75.00,27%,<1%,Beta,Indica Hybrid,Denmark,"Alpha-Pinene, Beta-Pinene, Bisabolol, Carene, Caryophyllene, Fenchol, Humulene, Linalool, Myrcene, Nerolidol, Terpineol",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/grow-cs-t27-cali-sunset/,,,
IPS,,Cherry Mints,Flower,£37.50,28%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t28-cherry-mints/,,,
IPS,SafriCanna,Dirty Zest,Flower,£49.50,26%,<1%,Beta,Indica Hybrid,South Africa,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t26-dirty-zest/,,,
IPS,,Durban Gorilla,Flower,£37.50,27%,<1%,Beta,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t27-durban-gorilla/,,,
IPS,PharmaCann,French Cookies,Flower,£67.50,28%,<1%,Non-Irradiated,Hybrid,North Macedonia,"Beta-Pinene, Caryophyllene, Fenchol, Humulene, Limonene, Myrcene, Terpineol",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/fc-t28-french-cookies/,,,
IPS,SafriCanna,Full Gas Cookies,Flower,£55.00,28%,<1%,Beta,Indica Hybrid,South Africa,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t27-full-gas-cookies/,,,
IPS,SafriCanna,Grape Galena,Flower,£55.00,24%,<1%,Irradiation Unknown,Indica Hybrid,South Africa,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/gg-t24-grape-galena/,,,
IPS,PharmaCann,Jet Fuel Apricot,Flower,£39.50,20%,<1%,Beta,Hybrid,North Macedonia,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/jfa-t20-jet-fuel-apricot/,,,
IPS,PharmaCann,King's Kush,Flower,£69.00,24%,<1%,Non-Irradiated,Indica Hybrid,North Macedonia,"Alpha-Pinene, Caryophyllene, Humulene, Isopulegol, Linalool",10 Grams,In Stock,https://medbud.wiki/strains/ips/grow-kk-t24-kings-kush/,,,
IPS,PharmaCann,L.A. S.A.G.E.,Flower,£67.50,26%,<1%,Non-Irradiated,Hybrid,North Macedonia,"Caryophyllene, Humulene, Limonene, Myrcene, Ocimene, Terpinolene",10 Grams,In Stock,https://medbud.wiki/strains/ips/las-t26-la-sage/,,,
IPS,SafriCanna,Mandarin Cookies,Flower,£49.50,22%,<1%,Non-Irradiated,Sativa Hybrid,South Africa,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/mc-t22-mandarin-cookies/,,,
IPS,SafriCanna,Mango Grove,Flower,£49.50,25%,<1%,Irradiation Unknown,Indica Hybrid,South Africa,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/mg-t25-mango-grove/,,,
IPS,SafriCanna,Miracle Alien Cookies,Flower,£59.50,22%,<1%,Gamma,Hybrid,South Africa,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t22-miracle-alien-cookies/,,,
IPS,SafriCanna,Pandora,Flower,£49.50,24%,<1%,Irradiation Unknown,Hybrid,South Africa,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/ips/pan-t24-pandora/,,,
IPS,,Permanent Chimera,Flower,£38.50,23%,<1%,Irradiation Unknown,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t23-permanent-chimera/,,,
IPS,SafriCanna,Purple Push Pop,Flower,£52.50,28%,<1%,Beta,Hybrid,South Africa,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/ppp-t28-purple-push-pop/,,,
IPS,,Rainbow Runtz,Flower,£69.50,32%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Low Stock,https://medbud.wiki/strains/ips/t32-rainbow-runtz/,,,
IPS,PharmaCann,Red Pop,Flower,£59.50,26%,<1%,Non-Irradiated,Indica Hybrid,North Macedonia,"Alpha-Pinene, Beta-Pinene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t26-red-pop/,,,
IPS,,Sherb Cream Pie,Flower,£38.50,21%,<1%,Beta,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t21-sherb-cream-pie/,,,
IPS,PharmCann,Shpritzer,Flower,£75.00,30%,<1%,Gamma,Hybrid,North Macedonia,"Caryophyllene, Limonene, Linalool,",10 Grams,In Stock,https://medbud.wiki/strains/ips/t32-spritzer/,,,
IPS,PharmaCann,Strawberry Lemonade,Flower,£49.50,21%,<1%,Non-Irradiated,Hybrid,North Macedonia,"Alpha-Pinene, Beta-Pinene, Bisabolol, Caryophyllene, Guaiol, Humulene, Limonene, Linalool, Mrycene, Nerolidol, Z-Nerolidol",10 Grams,Out of Stock,https://medbud.wiki/strains/ips/t21/,,,

Kasa Verde,Green Karat,Dante'z Inferno,Flower,£70.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/kasa-verde/di-t27-dantes-inferno/,,,
Kasa Verde,Green Karat,Fight Club,Flower,£75.00,32%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/kasa-verde/fc-t32-fight-club/,,,
Kasa Verde,Green Karat,Gazzurple,Flower,£70.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/kasa-verde/gzp-t26-gazzurple/,,,
Kasa Verde,Green Karat,Grape Octane,Flower,£70.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/kasa-verde/go-t27-grape-octane/,,,
Kasa Verde,Green Karat,Grease Monkey,Flower,£55.00,24%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/kasa-verde/gmk-t24-grease-monkey/,,,
Kasa Verde,Green Karat,Halle Berry,Flower,£75.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Linalool",10 Grams,In Stock,https://medbud.wiki/strains/kasa-verde/hbe-t25-halle-berry/,,,
Kasa Verde,Green Karat,Karamel Kandy,Flower,£60.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/kasa-verde/kka-t25-karamel-kandy/,,,
Kasa Verde,Green Karat,L.A. Baker,Flower,£55.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/kasa-verde/la-t29-baker/,,,
Kasa Verde,Green Karat,Singapore Sling,Flower,£70.00,25%,<1%,Non-Irradiated,Sativa Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/kasa-verde/sgp-t25-singapore-sling/,,,

Khiron,Schroll Medical,Biscotti Mintz,Flower,£45.00,22%,<1%,Beta,Hybrid,Denmark,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/khiron/bm-t22-biscotti-mintz/,,,
Khiron,Schroll Medical,Godfather OG,Flower,£60.00,28%,<1%,Beta,Indica Hybrid,Denmark,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/khiron/gog-t28-godfather-og/,,,
Khiron,Linneo Health,Hindu Kush,Flower,£59.00,20%,<1%,Gamma,Indica,Spain,"Alpha-Pinene, Caryophyllene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/khiron/t20c1-hindu-kush/,,,
Khiron,AB Laboratories,Peanut Butter Breath,Flower,£55.00,23%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/khiron/pbb-t23-peanut-butter-breath/,,,

Kootenay Quantum,,Crystal Caviar,Flower,£55.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/kootenay-quantum/cc-t25-crystal-caviar/,,,

LIT,,Florida OG (SMALLS),Flower,£55.00,28%,<1%,Gamma,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/lit/fog-t30-florida-og/,,,
LIT,,Master Kush (SMALLS),Flower,£55.00,30%,<1%,Gamma,Indica,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/lit/smalls-t34-master-kush/,,,
LIT,,Master Kush (SMALLS),Flower,£55.00,34%,<1%,Gamma,Indica,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/lit/smalls-t34-master-kush/,,,
LIT,,Snow Lotus (SMALLS),Flower,£55.00,30%,<1%,Gamma,Indica Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/lit/sl-smalls-t34/,,,
LIT,,Sour Diesel (SMALLS),Flower,£55.00,34%,<1%,Gamma,Indica Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/lit/smalls-t34-sour-diesel/,,,
LIT,,White Fire (SMALLS),Flower,£55.00,30%,<1%,Gamma,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/lit/wf-t30-white-fire/,,,

Mamedica®,Canary RX,Black Garlic,Flower,£60.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/mamedica/gel-t27-black-garlic/,,,
Mamedica®,,Blue Pave,Flower,£75.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/mamedica/bp-t27-blue-pave/,,,
Mamedica®,Cheers Cannabis,Cap Junky,Flower,£75.00,30%,<1%,Non-Irradiated,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/mamedica/cj-t34-cap-junky/,,,
Mamedica®,Cheers Cannabis,Chem Cookies #44,Flower,£75.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/mamedica/tbc-chem-cookies/,,,
Mamedica®,Cheers Cannabis,Cherry Blast,Flower,£75.00,24%,<1%,Non-Irradiated,Hybrid,Canada,"Not Listed",10 Grams,Low Stock,https://medbud.wiki/strains/mamedica/cb-t24-cherry-blast/,,,
Mamedica®,Cheers Cannabis,Pink Kitty,Flower,£75.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/mamedica/pk-t25-pink-kitty/,,,
Mamedica®,Cheers Cannabis,Polar Blaze,Flower,£70.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/mamedica/pb-t25-polar-blaze/,,,
Mamedica®,Cheers Cannabis,Purple Milk,Flower,£75.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/mamedica/pm-t27-purple-milk/,,,
Mamedica®,,Red Velvet,Flower,£75.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/mamedica/rdv-t29-red-velvet/,,,
Mamedica®,Canary RX,Sherb Master OG,Flower,£60.00,25%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/mamedica/smo-t25-sherb-master-og/,,,
Mamedica®,Cheers Cannabis,Strawberry Grail,Flower,£85.00,30%,<1%,Non-Irradiated,Hybrid,Canada,"Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/mamedica/stg-t30-strawberry-grail/,,,

Medicus,,Apple Fritter,Flower,£55.00,21%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/medicus/af-t26-apple-fritter/,,,
Medicus,,Fire Cookies,Flower,£65.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/medicus/fc-t27-fire-cookies/,,,
Medicus,,Fire Cookies (SMALLS),Flower,£55.00,24%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/medicus/fc-smalls-t24-fire-cookies/,,,
Medicus,,Fruity Pebble Kush,Flower,£55.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/medicus/fpk-t27-fruity-pebble-kush/,,,

Miracle Valley Canada,,Miracle Alien Cookies,Flower,£65.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Humulene, Limonene, Linalool, Myrcene, Ocimene",10 Grams,Out of Stock,https://medbud.wiki/strains/miracle-valley-canada/mac1-t26-miracle-alien-cookies/,,,

MUZO,J.R. Strain,Sudz,Flower,£89.00,27%,<1%,Beta,Hybrid,Canada,"Alpha-Farnesene, Alpha-Pinene, Beta-Pinene, Bisabolol, Camphene, Caryophyllene, Fenchol, Humulene, Limonene, Linalool, Myrcene, Nerolidol, Ocimene, Terpineol, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/muzo/sdz-t27-sudz/,,,

Mystery Mountain™,Canadian Craft Cannabis Co,Afghan Layer Cake,Flower,£90.00,30%,<1%,Beta,Indica Hybrid,Canada,"Alpha-Farnesene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/mystery-mountain/agn-lck-t30-afghan-layer-cake/,,,
Mystery Mountain™,Canadian Craft Cannabis Co,Coco Bamba,Flower,£90.00,26%,<1%,Beta,Indica Hybrid,Canada,"Alpha-Farnesene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/mystery-mountain/cco-bmb-t26-coco-bamba/,,,
Mystery Mountain™,Canadian Craft Cannabis Co,Dark Sky Paradise,Flower,£90.00,30%,<1%,Beta,Hybrid,Canada,"Alpha-Farnesene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/mystery-mountain/dsk-pds-t30-dark-sky-paradise/,,,
Mystery Mountain™,Canadian Craft Cannabis Co,GMO MAC,Flower,£90.00,27%,<1%,Beta,Indica Hybrid,Canada,"Alpha-Farnesene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/mystery-mountain/gmo-mac-t27-garlic-mushroom-onion-miracle-alien-cookies/,,,
Mystery Mountain™,Canadian Craft Cannabis Co,Ice Cream Mintz,Flower,£90.00,28%,<1%,Beta,Indica Hybrid,Canada,"Alpha-Pinene, Limonene, Linalool, Ocimene",10 Grams,In Stock,https://medbud.wiki/strains/mystery-mountain/icm-mnz-t32-ice-cream-mintz/,,,
Mystery Mountain™,Canadian Craft Cannabis Co,Seatown Lemon Haze,Flower,£90.00,29%,<1%,Beta,Sativa Hybrid,Canada,"Alpha-Farnesene, Myrcene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/mystery-mountain/stn-lhz-t29-seatown-lemon-haze/,,,
Mystery Mountain™,Canadian Craft Cannabis Co,The Big Mango,Flower,£90.00,7%,10%,Beta,Balanced,Canada,"Alpha-Farnesene, Alpha-Pinene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/mystery-mountain/tbg-mng-t8c10-the-big-mango/,,,

Next Friday,,Blueberry Fuego,Flower,£80.00,24%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/next-friday/bf-t24-blueberry-fuego/,,,
Next Friday,,Mutant Tyre Fire,Flower,£80.00,30%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/next-friday/mtf-t30-mutant-tyre-fire/,,,

Origine Nature,,Golden Gauth,Flower,£75.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Bisabolol, Caryophyllene, Limonene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/origine-nature/gg-t26-golden-gauth/,,,
Origine Nature,,Sage & Sour,Flower,£80.00,30%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Limonene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/origine-nature/ss-t27-sage-n-sour/,,,

Ostara,,Gas Cake,Flower,£75.00,30%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/ostara/gc-t32-gas-cake/,,,
Ostara,,Long Valley Legend,Flower,£55.00,8%,10%,Non-Irradiated,Balanced,Canada,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/ostara/lvl-t8c10-long-valley-legend/,,,

Packs,,RS-11,Flower,£75.00,25%,<1%,Beta,Hybrid,Unknown,"Bisabolol, Caryophyllene, Humulene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/packs/t24-rs11/,,,

Papers™,,Animal Face Cookies,Flower,£70.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/papers/afc-t28-animal-face-cookies/,,,
Papers™,,Gushface,Flower,£80.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Alpha-Pinene, Camphene, Terpinolene",10 Grams,In Stock,https://medbud.wiki/strains/papers/gf-t28-gush-face/,,,
Papers™,,RS-11,Flower,£90.00,24%,<1%,Non-Irradiated,Hybrid,Canada,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/papers/rs11/,,,
Papers™,,Yoda Cap,Flower,£90.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/papers/yc-t29-yoda-cap/,,,

Peace Naturals,Northern Green Canada,Atomic Sour Grapefruit,Flower,£75.00,30%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/peace-naturals/t30-atomic-sour-grapefruit/,,,
Peace Naturals,Northern Green Canada,Blue Thai,Flower,£55.00,27%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/peace-naturals/t27-blue-thai/,,,
Peace Naturals,Northern Green Canada,GMO Cookies,Flower,£65.00,30%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/peace-naturals/t30-gmo-cookies/,,,
Peace Naturals,Northern Green Canada,OG Kush,Flower,£67.50,30%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/peace-naturals/t30-og-kush/,,,
Peace Naturals,Northern Green Canada,Sonic Lemon Fuel,Flower,£50.00,32%,<1%,Beta,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/peace-naturals/t32-sonic-lemon-fuel/,,,
